Name,Color,Mana Value,CMC,Rarity,Edition (name),Card Type,Power,Toughness,Card Text,Acquired Price,Card Rulings,CardMarket ID,Collector's number,Condition,Creation Date,Currency,Delver Local ID,Edition,Edition (CODE),Edition (code),Edition CODE,Edition [CODE],Edition [code],Edition code,Edition code MTGO,Foil,Foil quantity,Foil/Etched,Frame Type,In DECKs (being used),In LISTs (owned),Is Commander?,Language,List name,Loyalty,MultiverseID,Non-foil quantity,Price,Price (total),Quantity,QuantityX,Reserved List,Scryfall ID,TCGPlayer productID,Tag,Zeros,Artists
"Bewilder","Blue","{2}{U}","3","C","(Iconic Masters)","Instant","0","0","""Target creature gets -3/-0 until end of turn.
Draw a card.""","0","""• If the target creature is an illegal target by the time Bewilder tries to resolve, the spell doesn’t resolve. You don’t draw a card.""","301433","43","","2023-Feb-13_05:26:36","USD","3683","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438609","14","$0.20","$2.80","14","14x","","09ad45e5-8a80-4a6c-b9da-36d5f778ca51","145401","","0","Ralph Horsley"
"Blinding Mage","White","{1}{W}","2","C","(Iconic Masters)","Creature — Human Wizard","1","2","""{W}, {T}: Tap target creature.""","0","""""","301561","13","","2023-Feb-13_05:14:34","USD","3667","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438579","17","$0.20","$3.40","17","17x","","173675c1-685c-4f4c-a6dc-b42a3ae69137","145360","","0","Eric Deschamps"
"Borderland Marauder","Red","{1}{R}","2","C","(Iconic Masters)","Creature — Human Warrior","1","2","""Whenever Borderland Marauder attacks, it gets +2/+0 until end of turn.""","0","""""","301610","119","","2023-Feb-13_05:52:02","USD","3719","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438685","14","$0.20","$2.80","14","14x","","e93bd9ae-a514-44f0-91b9-8889c1039555","145447","","0","Scott M. Fischer"
"Butcher's Glee","Black","{2}{B}","3","C","(Iconic Masters)","Instant","0","0","""Target creature gets +3/+0 and gains lifelink until end of turn. Regenerate it. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)""","0","""• Multiple instances of lifelink on the same creature are redundant.""","301592","84","","2023-Feb-13_05:42:12","USD","3702","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438650","14","$0.20","$2.80","14","14x","","92a00c8d-9dac-4edc-b66c-ab3245d80969","145416","","0","Jesper Ejsing"
"Child of Night","Black","{1}{B}","2","C","(Iconic Masters)","Creature — Vampire","2","1","""Lifelink""","0","""""","301593","85","","2023-Feb-13_05:42:49","USD","3703","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438651","16","$0.20","$3.20","16","16x","","5d6124cc-1106-4cf6-8499-26fff83a9611","145534","","0","Ash Wood"
"Claustrophobia","Blue","{1}{U}{U}","3","C","(Iconic Masters)","Enchantment — Aura","0","0","""Enchant creature
When Claustrophobia enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.""","0","""• Claustrophobia can target and enchant a tapped or untapped creature.
• The enchanted creature can still be untapped in other ways. Claustrophobia will remain attached, and the creature will continue to not untap during its controller’s untap step.""","301434","45","","2023-Feb-13_05:27:24","USD","3684","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438611","17","$0.20","$3.40","17","17x","","af4bc422-2378-4be8-8d81-ac4c30fcce9a","145404","","0","Ryan Pancoast"
"Crowned Ceratok","Green","{3}{G}","4","C","(Iconic Masters)","Creature — Rhino","4","3","""Trample
Each creature you control with a +1/+1 counter on it has trample.""","0","""""","301630","158","","2023-Feb-13_06:04:49","USD","3737","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438724","16","$0.21","$3.36","16","16x","","7cfc5264-e27e-4286-9feb-0dda0b074097","145508","","0","Steve Prescott"
"Darksteel Axe","","{1}","1","C","(Iconic Masters)","Artifact — Equipment","0","0","""Indestructible (Effects that say ""destroy"" don't destroy this artifact.)
Equipped creature gets +2/+0.
Equip {2}""","0","""• Darksteel Axe itself has indestructible, not the creature it's equipping.
• Although Darksteel Axe has indestructible, it can still be put into the graveyard for other reasons. The most likely reason is if it's sacrificed.""","301655","214","","2023-Feb-13_06:15:47","USD","3755","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438780","8","$0.25","$2.00","8","8x","","091da355-a253-443b-ad97-1908bd1a40ab","145428","","0","Daniel Ljunggren"
"Dead Reveler","Black","{2}{B}","3","C","(Iconic Masters)","Creature — Zombie","2","3","""Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)""","0","""• You make the choice to have the creature with unleash enter the battlefield with a +1/+1 counter or not as it’s entering the battlefield. At that point, it’s too late for a player to respond to the creature spell by trying to counter it, for example.
• The unleash ability applies no matter where the creature is entering the battlefield from.
• A creature with unleash can’t block if it has any +1/+1 counter on it, not just one put on it by the unleash ability.
• Putting a +1/+1 counter on a creature with unleash that’s already blocking won’t remove it from combat. It will continue to block.""","301594","86","","2023-Feb-13_05:43:24","USD","3704","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438652","14","$0.20","$2.80","14","14x","","c5e52f38-2991-429a-a312-a02696c86b05","145418","","0","David Palumbo"
"Diminish","Blue","{U}","1","C","(Iconic Masters)","Instant","0","0","""Target creature has base power and toughness 1/1 until end of turn.""","0","""• Diminish overwrites all previous effects that set the target creature’s power and toughness to specific values. Other effects that set its power or toughness to specific values that start to apply after Diminish resolves will overwrite this effect.
• Effects that modify the target creature’s power or toughness, such as the effects of Elesh Norn, Grand Cenobite or prowess, will apply to it no matter when they started to take effect. The same is true for counters that change the creature’s power or toughness (such as +1/+1 counters).""","301575","50","","2023-Feb-13_05:28:20","USD","3685","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438616","12","$0.20","$2.40","12","12x","","9d468111-f7af-4ea2-a250-cd8c15ba60cc","145409","","0","Eric Deschamps"
"Disenchant","White","{1}{W}","2","C","(Iconic Masters)","Instant","0","0","""Destroy target artifact or enchantment.""","0","""• This is not modal. If the target changes from an artifact to an enchantment or vice versa, this still destroys it.""","301562","15","","2023-Feb-13_05:15:11","USD","3668","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Using","Have","","","Iconic masters 2/12/23","0","438581","15","$0.23","$3.45","15","15x","","2cfcbc11-bf1a-438b-9c66-0928cea6d297","145363","","0","Donato Giancola"
"Dissolve","Blue","{1}{U}{U}","3","C","(Iconic Masters)","Instant","0","0","""Counter target spell. Scry 1. (Look at the top card of your library. You may put that card on the bottom of your library.)""","0","""• When you scry, you may put all the cards you look at back on top of your library, you may put all of those cards on the bottom of your library, or you may put some of those cards on top and the rest of them on the bottom.
• You choose how to order cards returned to your library after scrying no matter where you put them.
• You perform the actions stated on a card in sequence. For some spells and abilities, that means you'll scry last. For others, that means you'll scry and then perform other actions.
• Scry appears on some spells and abilities with one or more targets. If all of the spell or ability's targets are illegal when it tries to resolve, it won't resolve and none of its effects will happen. You won't scry.""","301438","51","","2023-Feb-13_05:28:53","USD","3686","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438617","12","$0.28","$3.36","12","12x","","b4fb87ab-8595-459a-a5f2-087296d9b120","145279","","0","Wesley Burt"
"Doomed Traveler","White","{W}","1","C","(Iconic Masters)","Creature — Human Soldier","1","1","""When Doomed Traveler dies, create a 1/1 white Spirit creature token with flying.""","0","""""","301563","16","","2023-Feb-13_05:15:49","USD","3669","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438582","13","$0.20","$2.60","13","13x","","1bbfd61b-fba3-4826-817a-e0eed7b8eda0","145365","","0","Lars Grant-West"
"Doorkeeper","Blue","{1}{U}","2","C","(Iconic Masters)","Creature — Homunculus","0","4","""Defender
{2}{U}, {T}: Target player mills X cards, where X is the number of creatures you control with defender.""","0","""• The number of creatures with defender you control is counted when the ability resolves.""","301439","53","","2023-Feb-13_05:29:34","USD","3687","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438619","9","$0.23","$2.07","9","9x","","ca527a9e-3a01-4e0b-add4-a6882f1c89d1","145310","","0","Kev Walker"
"Draconic Roar","Red","{1}{R}","2","C","(Iconic Masters)","Instant","0","0","""As an additional cost to cast this spell, you may reveal a Dragon card from your hand.
Draconic Roar deals 3 damage to target creature. If you revealed a Dragon card or controlled a Dragon as you cast this spell, Draconic Roar deals 3 damage to that creature's controller.""","0","""• Draconic Roar targets only the creature, not its controller. If that creature becomes an illegal target before Draconic Roar resolves, the spell doesn’t resolve and none of its effects will occur. No damage is dealt.
• If one of these spells is copied, the controller of the copy will get the “Dragon bonus” only if a Dragon card was revealed as an additional cost. The copy wasn’t cast, so whether you controlled a Dragon won’t matter.
• You can’t reveal more than one Dragon card to multiply the bonus. There is also no additional benefit for both revealing a Dragon card as an additional cost and controlling a Dragon as you cast the spell.
• If you don’t reveal a Dragon card from your hand, you must control a Dragon as you are finished casting the spell to get the bonus. For example, if you lose control of your only Dragon while casting the spell (because, for example, you sacrificed it to activate a mana ability), you won’t get the bonus.""","301472","123","","2023-Feb-13_05:52:36","USD","3720","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438689","10","$0.25","$2.50","10","10x","","11c57c26-500b-4ca2-9c47-f2a0e31975b3","145456","","0","Kev Walker"
"Dragon Bell Monk","White","{2}{W}","3","C","(Iconic Masters)","Creature — Human Monk","2","2","""Vigilance
Prowess (Whenever you cast a noncreature spell, this creature gets +1/+1 until end of turn.)""","0","""• Any spell you cast that doesn’t have the type creature will cause prowess to trigger. If a spell has multiple types, and one of those types is creature (such as an artifact creature), casting it won’t cause prowess to trigger. Playing a land also won’t cause prowess to trigger.
• Prowess triggers only once for any spell, even if that spell has multiple types.
• Prowess goes on the stack on top of the spell that caused it to trigger. It will resolve before that spell.
• Once it triggers, prowess isn’t connected to the spell that caused it to trigger. If that spell is countered, prowess will still resolve.""","301416","17","","2023-Feb-13_05:16:31","USD","3670","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438583","12","$0.20","$2.40","12","12x","","d1244c95-a066-412d-bd04-c906ea4b4dd0","145367","","0","Lius Lasahido"
"Dragon Egg","Red","{2}{R}","3","C","(Iconic Masters)","Creature — Dragon Egg","0","2","""Defender
When Dragon Egg dies, create a 2/2 red Dragon creature token with flying and ""{R}: This creature gets +1/+0 until end of turn.""""","0","""""","301614","124","","2023-Feb-13_05:53:07","USD","3721","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438690","11","$0.20","$2.20","11","11x","","8d9fb609-3df9-42e9-b15e-39d18661526a","145457","","0","Jack Wang"
"Dragonlord's Servant","Red","{1}{R}","2","C","(Iconic Masters)","Creature — Goblin Shaman","1","3","""Dragon spells you cast cost {1} less to cast.""","0","""• Dragonlord's Servant can't reduce the colored mana requirement of a Dragon spell you cast.
• If there are any additional costs to cast a Dragon spell, apply those before applying Dragonlord's Servant and any other cost reductions.
• The ability can apply to alternative costs to cast a Dragon spell.""","301473","126","","2023-Feb-13_05:53:41","USD","3722","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438692","10","$0.50","$5.00","10","10x","","9e387494-a184-49f8-bbf6-37dce964e702","145312","","0","Steve Prescott"
"Duress","Black","{B}","1","C","(Iconic Masters)","Sorcery","0","0","""Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card.""","0","""""","301456","88","","2023-Feb-13_05:43:56","USD","3705","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438654","9","$0.25","$2.25","9","9x","","ed02eba7-f9ef-418d-9c8e-6e7d2bd3869d","145424","","0","Steven Belledin"
"Durkwood Baloth","Green","{4}{G}{G}","6","C","(Iconic Masters)","Creature — Beast","5","5","""Suspend 5—{G} (Rather than cast this card from your hand, you may pay {G} and exile it with five time counters on it. At the beginning of your upkeep, remove a time counter. When the last is removed, cast it without paying its mana cost. It has haste.)""","0","""• Suspend is a keyword that represents three abilities. The first is a static ability that allows you to exile the card from your hand with the specified number of time counters (the number before the dash) on it by paying its suspend cost (listed after the dash). The second is a triggered ability that removes a time counter from the suspended card at the beginning of each of your upkeeps. The third is a triggered ability that causes you to cast the card when the last time counter is removed. If you cast a creature spell this way, it gains haste until you lose control of that creature (or, in rare cases, you lose control of the creature spell while it’s on the stack).
• You can exile a card in your hand using suspend any time you could cast that card. Consider its card type, any effects that modify when you could cast it (such as flash) and any other effects that stop you from casting it (such as from Meddling Mage’s ability) to determine if and when you can do this. Whether you could actually complete all steps in casting the card is irrelevant. For example, you can exile a card with suspend that has no mana cost or that requires a target even if no legal targets are available at that time.
• Cards exiled with suspend are exiled face up.
• Exiling a card with suspend isn’t casting that card. This action doesn’t use the stack and can’t be responded to.
• If the spell requires any targets, those targets are chosen when the spell is finally cast, not when it’s exiled.
• If an effect refers to a “suspended card,” that means a card that (1) has suspend, (2) is in exile, and (3) has one or more time counters on it.
• If the first triggered ability of suspend (the one that removes time counters) is countered, no time counter is removed. The ability will trigger again at the beginning of the card’s owner’s next upkeep.
• When the last time counter is removed, the second triggered ability of suspend (the one that lets you cast the card) triggers. It doesn’t matter why the last time counter was removed or what effect removed it.
• If the second triggered ability is countered, the card can’t be cast. It remains exiled with no time counters on it, and it’s no longer suspended.
• As the second triggered ability resolves, you must cast the card if able. You must do so even if it requires targets and the only legal targets are ones that you really don’t want to target. Timing permissions based on the card’s type are ignored.
• If you can’t cast the card, perhaps because there are no legal targets available, it remains exiled with no time counters on it, and it’s no longer suspended.
• If you cast a card “without paying its mana cost,” such as with suspend, you can’t choose to cast it for any alternative costs. You can, however, pay additional costs. If the card has any mandatory additional costs, you must pay those if you want to cast the card.
• You are never forced to activate mana abilities to pay costs, so if there is a mandatory additional mana cost (such as from Thalia, Guardian of Thraben), you can decline to activate mana abilities to pay for it and hence fail to cast the suspended card, leaving it in exile.
• If the card has {X} in its mana cost, you must choose 0 as the value of X when casting it without paying its mana cost.
• The mana value of a spell cast without paying its mana cost is determined by its mana cost, even though that cost wasn’t paid.
• A creature cast using suspend will enter the battlefield with haste. It will have haste until another player gains control of it. (In some rare cases, another player may gain control of the creature spell itself. If this happens, the creature won’t enter the battlefield with haste.)""","301492","160","","2023-Feb-13_06:05:24","USD","3738","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438726","10","$0.20","$2.00","10","10x","","df027117-9cb2-428f-b5ab-eb4491493fa3","145509","","0","Dan Frazier"
"Duskdale Wurm","Green","{5}{G}{G}","7","C","(Iconic Masters)","Creature — Wurm","7","7","""Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)""","0","""""","301631","161","","2023-Feb-13_06:06:04","USD","3739","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438727","14","$0.20","$2.80","14","14x","","f6879321-9a61-4c4f-9513-81ad5684c99e","145510","","0","Dan Dos Santos"
"Earth Elemental","Red","{3}{R}{R}","5","C","(Iconic Masters)","Creature — Elemental","4","5","""""","0","""""","301616","127","","2023-Feb-13_05:54:21","USD","3723","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438693","12","$0.20","$2.40","12","12x","","b67562b9-7f07-4bfd-b049-6216cbcb1cd2","145460","","0","Anthony S. Waters"
"Elusive Spellfist","Blue","{1}{U}","2","C","(Iconic Masters)","Creature — Human Monk","1","3","""Whenever you cast a noncreature spell, Elusive Spellfist gets +1/+0 until end of turn and can't be blocked this turn.""","0","""• Once Elusive Spellfist has been blocked, causing its ability to trigger won’t change or undo that block.""","301577","54","","2023-Feb-13_05:30:12","USD","3688","Iconic Masters","(IMA)","(ima)","IMA","[IMA]","[ima]","IMA","ima","","0","","Regular","Not Using","Have","","","Iconic masters 2/12/23","0","438620","12","$0.21","$2.52","12","12x","","aac94901-f4ec-4888-82ef-87fd2b20cf11","145412","","0","Viktor Titov"
